onset	duration	trial_type	response_time	stim_file	accuracy
481.136	1.0	go	0.516	Go_O	1.0
483.743	1.0	go	0.362	Go_X	1.0
486.268	1.0	go	0.31	Go_X	1.0
488.792	1.0	go	0.446	Go_O	1.0
491.316	1.0	go	0.296	Go_O	1.0
493.84	1.0	go	0.387	Go_X	1.0
496.364	0.25	stopfail	0.341	Go_O	0.0
498.888	1.0	go	0.351	Go_X	1.0
501.413	0.2	stopfail	0.403	Go_X	0.0
503.937	1.0	go	0.527	Go_O	1.0
506.461	1.0	go	0.46	Go_X	1.0
508.985	1.0	go	0.343	Go_O	1.0
511.509	0.15	stopsuccess	0.0	Go_O	1.0
514.033	1.0	go	0.374	Go_O	1.0
516.558	1.0	go	0.4	Go_X	1.0
519.082	0.2	stopfail	0.304	Go_X	0.0
521.606	0.15	stopfail	0.26	Go_O	0.0
524.13	1.0	go	0.406	Go_X	1.0
526.654	1.0	go	0.305	Go_O	1.0
529.178	0.1	stopsuccess	0.0	Go_X	1.0
531.702	1.0	go	0.491	Go_O	1.0
534.227	1.0	go	0.394	Go_X	1.0
536.751	0.15	stopsuccess	0.0	Go_O	1.0
539.275	1.0	go	0.481	Go_O	1.0
541.799	1.0	go	0.406	Go_X	1.0
544.323	0.2	stopfail	0.402	Go_X	0.0
546.847	1.0	go	0.412	Go_O	1.0
549.372	1.0	go	0.455	Go_X	1.0
551.896	0.15	stopfail	0.31	Go_O	0.0
554.42	1.0	go	0.533	Go_O	1.0
556.944	1.0	go	0.33	Go_X	1.0
559.468	1.0	go	0.335	Go_X	1.0
561.992	1.0	go	0.432	Go_O	1.0
564.517	1.0	go	0.425	Go_O	1.0
567.041	0.1	stopsuccess	0.0	Go_X	1.0
569.565	1.0	go	0.373	Go_X	1.0
572.089	1.0	go	0.408	Go_X	1.0
574.613	1.0	go	0.323	Go_O	1.0
577.137	1.0	go	0.332	Go_X	1.0
579.662	1.0	go	0.359	Go_O	1.0
582.186	0.15	stopsuccess	0.0	Go_O	1.0
584.71	1.0	go	0.349	Go_X	1.0
587.234	1.0	go	0.309	Go_O	1.0
589.758	1.0	go	0.325	Go_O	1.0
592.282	1.0	go	0.335	Go_X	1.0
594.806	1.0	go	0.323	Go_O	1.0
597.331	1.0	go	0.442	Go_X	1.0
599.855	0.2	stopsuccess	0.0	Go_X	1.0
602.379	1.0	go	0.377	Go_O	1.0
604.903	1.0	go	0.256	Go_X	1.0
607.427	0.25	stopfail	0.268	Go_O	0.0
609.951	1.0	go	0.405	Go_O	1.0
612.476	0.2	stopfail	0.398	Go_X	0.0
615.0	0.15	stopfail	0.285	Go_O	0.0
617.524	1.0	go	0.382	Go_X	1.0
620.048	1.0	go	0.366	Go_O	1.0
622.572	1.0	go	0.379	Go_X	1.0
625.096	1.0	go	0.391	Go_X	1.0
627.621	0.1	stopsuccess	0.0	Go_X	1.0
630.145	1.0	go	0.272	Go_O	1.0
632.669	0.15	stopsuccess	0.0	Go_O	1.0
635.193	1.0	go	0.381	Go_X	1.0
637.717	1.0	go	0.574	Go_O	1.0
640.241	1.0	go	0.376	Go_O	1.0
642.766	1.0	go	0.476	Go_X	1.0
645.29	1.0	go	0.278	Go_O	1.0
647.814	1.0	go	0.371	Go_X	1.0
650.338	1.0	go	0.376	Go_O	1.0
652.862	1.0	go	0.348	Go_X	1.0
655.386	1.0	go	0.491	Go_X	1.0
657.911	0.2	stopfail	0.361	Go_X	0.0
660.435	1.0	go	0.299	Go_O	1.0
662.959	1.0	go	0.388	Go_X	0.0
665.483	1.0	go	0.327	Go_O	1.0
668.007	0.15	stopfail	0.411	Go_O	0.0
670.531	1.0	go	0.264	Go_X	1.0
673.055	1.0	go	0.384	Go_O	1.0
675.58	1.0	go	0.435	Go_O	1.0
678.104	1.0	go	0.518	Go_X	1.0
680.628	1.0	go	0.42	Go_X	1.0
683.152	1.0	go	0.283	Go_O	1.0
685.676	0.1	stopfail	0.36	Go_X	0.0
688.2	1.0	go	0.36	Go_O	1.0
690.725	1.0	go	0.42	Go_X	1.0
693.249	0.05	stopsuccess	0.0	Go_O	1.0
695.773	1.0	go	0.571	Go_O	1.0
698.297	1.0	go	0.377	Go_X	1.0
700.821	0.1	stopsuccess	0.0	Go_X	1.0
703.345	1.0	go	0.373	Go_X	1.0
705.87	0.15	stopfail	0.337	Go_O	0.0
708.394	1.0	go	0.361	Go_O	1.0
710.918	1.0	go	0.436	Go_O	1.0
713.442	1.0	go	0.386	Go_X	1.0
715.966	1.0	go	0.435	Go_X	1.0
718.49	1.0	go	0.34	Go_O	1.0
721.015	0.1	stopfail	0.394	Go_X	0.0
723.539	0.05	stopsuccess	0.0	Go_O	1.0
726.063	1.0	go	0.348	Go_O	1.0
728.587	1.0	go	0.451	Go_X	1.0
731.111	0.1	stopsuccess	0.0	Go_X	1.0
733.635	1.0	go	0.285	Go_O	1.0
736.16	1.0	go	0.475	Go_X	0.0
738.684	1.0	go	0.426	Go_X	1.0
741.208	1.0	go	0.379	Go_O	1.0
743.732	1.0	go	0.388	Go_O	1.0
746.256	1.0	go	0.456	Go_X	1.0
748.78	0.15	stopfail	0.432	Go_O	0.0
751.304	1.0	go	0.432	Go_X	1.0
753.829	1.0	go	0.333	Go_O	1.0
756.353	1.0	go	0.353	Go_O	1.0
758.877	1.0	go	0.348	Go_X	1.0
761.401	1.0	go	0.317	Go_O	1.0
763.925	0.1	stopfail	0.347	Go_X	0.0
766.449	1.0	go	0.63	Go_X	1.0
768.974	1.0	go	0.498	Go_X	1.0
771.498	1.0	go	0.411	Go_O	1.0
774.022	1.0	go	0.429	Go_X	1.0
776.546	0.05	stopsuccess	0.0	Go_O	1.0
779.07	1.0	go	0.4	Go_O	1.0
781.594	1.0	go	0.417	Go_O	1.0
784.119	0.1	stopfail	0.309	Go_X	0.0
786.643	1.0	go	0.387	Go_X	1.0
789.167	0.05	stopsuccess	0.0	Go_O	1.0
791.691	1.0	go	0.349	Go_X	1.0
794.215	1.0	go	0.395	Go_O	1.0
796.739	1.0	go	0.473	Go_O	1.0
799.264	1.0	go	0.384	Go_X	1.0
801.788	1.0	go	0.425	Go_X	1.0
804.312	1.0	go	0.381	Go_O	1.0
806.836	1.0	go	0.438	Go_X	1.0
809.36	0.1	stopsuccess	0.0	Go_X	1.0
811.884	1.0	go	0.368	Go_O	1.0
814.425	1.0	go	0.509	Go_X	1.0
816.949	1.0	go	0.332	Go_O	1.0
819.474	0.15	stopfail	0.412	Go_O	0.0
821.998	1.0	go	0.293	Go_X	1.0
824.522	1.0	go	0.312	Go_O	1.0
827.046	1.0	go	0.386	Go_X	1.0
829.57	1.0	go	0.525	Go_O	1.0
832.094	0.1	stopfail	0.418	Go_X	0.0
834.619	1.0	go	0.412	Go_X	1.0
837.143	1.0	go	0.381	Go_O	1.0
839.667	0.05	stopsuccess	0.0	Go_O	1.0
842.191	1.0	go	0.341	Go_O	1.0
844.715	1.0	go	0.348	Go_X	1.0
847.239	0.1	stopsuccess	0.0	Go_X	1.0
849.763	1.0	go	0.406	Go_O	1.0
852.288	1.0	go	0.373	Go_X	1.0
854.812	0.15	stopfail	0.402	Go_O	0.0
857.336	1.0	go	0.485	Go_O	1.0
859.86	1.0	go	0.412	Go_X	1.0
862.384	1.0	go	0.36	Go_O	1.0
864.908	1.0	go	0.448	Go_X	1.0
867.433	1.0	go	0.413	Go_X	1.0
869.957	1.0	go	0.534	Go_O	1.0
872.481	0.1	stopfail	0.266	Go_X	0.0
875.005	1.0	go	0.301	Go_X	1.0
877.529	0.05	stopsuccess	0.0	Go_O	1.0
880.053	1.0	go	0.424	Go_O	1.0
882.578	1.0	go	0.543	Go_O	1.0
885.102	1.0	go	0.406	Go_X	1.0
887.626	1.0	go	0.415	Go_X	1.0
890.15	1.0	go	0.293	Go_O	1.0
892.674	0.1	stopfail	0.288	Go_X	0.0
895.198	1.0	go	0.419	Go_O	1.0
897.723	1.0	go	0.451	Go_X	1.0
900.247	1.0	go	0.208	Go_X	0.0
902.771	0.05	stopsuccess	0.0	Go_O	1.0
905.295	0.1	stopsuccess	0.0	Go_X	1.0
907.819	0.15	stopfail	0.34	Go_O	0.0
910.343	1.0	go	0.487	Go_O	1.0
912.867	0.1	stopsuccess	0.0	Go_X	1.0
915.392	1.0	go	0.332	Go_O	1.0
917.916	1.0	go	0.38	Go_X	1.0
920.44	1.0	go	0.399	Go_O	1.0
922.964	1.0	go	0.368	Go_X	1.0
